 Rank                     Fighter Score
  276             Ricco Rodriguez  1041
  277                  Matt Wiman  1041
  278                 Chad Mendes  1041
  279               Bryan Caraway  1041
  280             Dennis Bermudez  1041
  281            Magnus Cedenblad  1041
  282                 Tony Martin  1041
  283               Carla Esparza  1041
  284       José Alberto Quiñónez  1041
  285               Joaquim Silva  1041
  286                 Mickey Gall  1041
  287               Macy Chiasson  1041
  288                   Dan Hardy  1040
  289               Gunnar Nelson  1040
  290             Enrique Barzola  1040
  291                  Tito Ortiz  1039
  292                  Tom Breese  1038
  293                  Davi Ramos  1038
  294               Patrick Smith  1037
  295               Renato Sobral  1037
  296              Renato Moicano  1037
  297                  Niko Price  1037
  298                Irene Aldana  1037
  299                Shane Carwin  1036
  300               Sérgio Moraes  1036
  301                 Tim Kennedy  1036
  302                  Uriah Hall  1036
  303             Muslim Salikhov  1036
  304               Brendan Allen  1036
  305           Murilo Bustamante  1035
  306                  Clay Guida  1035
  307              Matthew Riddle  1035
  308               Jimmie Rivera  1035
  309              Marvin Vettori  1035
  310                 Jimmy Crute  1035
  311                 Chris Lytle  1034
  312                  Mike Swick  1034
  313               Lavar Johnson  1034
  314               Abel Trujillo  1034
  315             Aleksei Oleinik  1034
  316            Bartosz Fabiński  1034
  317         Shamil Abdurakhimov  1034
  318               Karl Roberson  1034
  319                   Luis Peña  1034
  320           Said Nurmagomedov  1034
  321            Magomed Ankalaev  1034
  322                  Bas Rutten  1033
  323                 Dean Lister  1033
  324             Kurt Pellegrino  1033
  325         Krzysztof Soszynski  1033
  326               Diego Brandao  1033
  327                  Andre Fili  1033
  328               Sean O'Malley  1033
  329               Johnny Walker  1033
  330               Kevin Holland  1033
  331              Montel Jackson  1033
  332                Casey Kenney  1033
  333            Marina Rodriguez  1033
  334            Sergei Pavlovich  1033
  335                Brad Riddell  1033
  336                Miguel Baeza  1033
  337                  Sean Brady  1033
  338            Daniel Rodriguez  1033
  339                Omar Morales  1033
  340              Phillip Miller  1032
  341             Gabriel Gonzaga  1032
  342                  Myles Jury  1032
  343                 Jordan Mein  1032
  344            Chris Holdsworth  1032
  345               Warlley Alves  1032
  346               Nina Ansaroff  1032
  347               Arjan Bhullar  1032
