 Rank                     Fighter Score
 1859                Dileno Lopes   968
 1860            Cesar Arzamendia   968
 1861  Leonardo Augusto Guimarães   968
 1862            Cristina Stanciu   968
 1863                 Alberto Uda   968
 1864           Christian Colombo   968
 1865                Jim Wallhead   968
 1866             James Bochnovic   968
 1867                Elias Garcia   968
 1868         Marcos Rosa Mariano   968
 1869               Kyle Prepolec   968
 1870      Zarah Fairn dos Santos   968
 1871                 Tank Abbott   967
 1872                  Dave Menne   967
 1873                 Frank Trigg   967
 1874                 Scott Smith   967
 1875                   Nate Mohr   967
 1876                 Rob Kimmons   967
 1877                Reuben Duran   967
 1878           Daron Cruickshank   967
 1879             Jonathan Wilson   967
 1880                Julian Erosa   967
 1881                Martín Bravo   967
 1882                Ross Pointon   967
 1883               Luke Caudillo   967
 1884                Samy Schiavo   967
 1885          Xavier Foupa-Pokam   967
 1886               Chase Gormley   967
 1887                  Todd Brown   967
 1888                Damacio Page   967
 1889             Motonobu Tezuka   967
 1890              Aaron Phillips   967
 1891             Rodrigo de Lima   967
 1892              Cain Carrizosa   967
 1893                   Rin Nakai   967
 1894                Edgar García   967
 1895                 Emily Kagan   967
 1896               Steve Kennedy   967
 1897                Daniel Jolly   967
 1898              Kelly Faszholz   967
 1899                 Anna Elmose   967
 1900                 Chris Avila   967
 1901                Kwan Ho Kwak   967
 1902           Ashkan Mokhtarian   967
 1903            Suman Mokhtarian   967
 1904                Kyle Stewart   967
 1905               Boston Salmon   967
 1906               Zelim Imadaev   967
 1907           Yoshihiro Akiyama   966
 1908                Cody Donovan   966
 1909               Jessamyn Duke   966
 1910               Polyana Viana   966
 1911            Steve Steinbeiss   966
 1912      Antônio dos Santos Jr.   966
 1913                   Cody East   966
 1914                  Hu Yaozong   966
 1915                 Sung Bin Jo   966
 1916            Isaac Villanueva   966
 1917              Álvaro Herrera   965
 1918                 Jenel Lausa   965
 1919                Daniel Spitz   965
 1920                Shana Dobson   965
 1921               Jason Gilliam   965
 1922                Ben Saunders   964
 1923                 Mike Easton   964
 1924                 Hatsu Hioki   963
 1925                Jamie Varner   962
 1926                  Mac Danzig   962
 1927                 Aaron Riley   961
 1928               Antônio Silva   961
 1929              Keita Nakamura   961
 1930               Brandon Davis   961
 1931                Juliana Lima   960
 1932                Ashley Yoder   960
 1933                Jason Miller   960
 1934               Tra Telligman   959
 1935              Marvin Eastman   959
 1936                  James Head   959
 1937              David Mitchell   959
 1938                Mitch Clarke   959
 1939                Yaotzin Meza   959
 1940                 Gina Mazany   959
 1941             Veronica Macedo   959
 1942              Dominic Waters   959
 1943              Mike Massenzio   958
 1944               Henry Briones   958
 1945            Dominique Steele   958
 1946               Kyle Bochniak   958
 1947              Albert Morales   958
 1948          Andre Soukhamthath   958
 1949                Gilbert Yvel   958
 1950                Ryan Couture   958
 1951                 Sarah Frota   958
 1952                   Tim Hague   957
 1953              Sean O'Connell   957
 1954               Mizuto Hirota   957
 1955                    Wes Sims   957
 1956              Assuerio Silva   957
 1957            Mostapha al-Turk   957
 1958              Fernando Bruno   957
 1959                Sabah Homasi   957
 1960        Marc-André Barriault   957
 1961                Eric Schafer   956
 1962             Justin Buchholz   956
 1963                Wagner Prado   956
 1964                Bec Rawlings   956
 1965            Garreth McLellan   956
 1966                 Max Griffin   956
 1967                  Rolando Dy   956
 1968             Jessica Aguilar   956
 1969              Felix Mitchell   956
 1970               Gabe Ruediger   956
 1971                  Dan Lauzon   956
 1972             Jason Reinhardt   956
 1973                 Kris McCray   956
 1974           Norifumi Yamamoto   956
 1975               Brian Houston   956
 1976                    Andy Enz   956
 1977          Konstantin Erokhin   956
 1978            Alessandro Ricci   956
 1979               Brian Camozzi   956
 1980                  Bobby Nash   956
 1981               Salim Touahri   956
 1982              Alen Amedovski   956
 1983                Rostem Akman   956
 1984            Francisco Rivera   955
 1985                 Ben Alloway   955
 1986                Viktor Pešta   955
 1987               Alex Chambers   955
 1988              Shane Campbell   955
 1989                Eric Spicely   955
 1990               Amanda Cooper   955
 1991                Edwin Dewees   955
 1992                 Joe Brammer   955
 1993                  C.J. Keith   955
 1994              Iliarde Santos   955
 1995               Estevan Payan   955
 1996            Darrell Montague   955
 1997                    Jack May   955
 1998                  Ruan Potts   955
 1999             Łukasz Sajewski   955
 2000                 Anton Zafir   955
 2001               Hector Aldana   955
 2002           Houston Alexander   954
 2003                Jared Hamman   954
 2004                Colton Smith   954
 2005                   Yoji Anjo   954
 2006                   Brad Imes   954
 2007                 Josh Haynes   954
 2008                Sean Soriano   954
 2009                Nolan Ticman   954
 2010                Eddie Gordon   954
 2011      Jocelyn Jones-Lybarger   954
 2012            Damian Grabowski   954
 2013            Bojan Mihajlović   954
 2014                Chan-Mi Jeon   954
 2015                Terrion Ware   954
 2016               Matt Bessette   954
 2017                   Dan Moret   954
 2018                Forrest Petz   953
 2019              Michael Kuiper   953
 2020            Gilbert Melendez   953
 2021               Chris Dempsey   953
 2022            Oluwale Bamgbose   953
 2023                 Artem Lobov   953
 2024                Darko Stošić   953
 2025                Daiju Takase   953
 2026                Jesse Forbes   953
 2027               Diego Saraiva   953
 2028               Cole Escovedo   953
 2029                 Jason Young   953
 2030             Garett Whiteley   953
 2031                 Mike Rhodes   953
 2032               Tom Niinimäki   953
 2033               Mike Santiago   953
 2034            Vinicius Moreira   953
 2035            Danilo Belluardo   953
 2036             Dequan Townsend   953
 2037             Scott Jorgensen   952
 2038              Lucie Pudilová   952
 2039                Marcelo Golm   952
 2040            Dmitry Smolyakov   952
 2041              Kalindra Faria   951
 2042                Wuliji Buren   951
 2043           Rafaello Oliveira   950
 2044                Brad Pickett   950
 2045                 Sam Sicilia   950
 2046                Barb Honchak   950
 2047             Daniel Sarafian   949
 2048                 Ryan Jensen   948
 2049                    Nam Phan   948
 2050                 Phil Baroni   946
 2051              Jorge Santiago   946
 2052               Júnior Albini   946
 2053                 Sarah Moras   945
 2054                 Eric Wisely   945
 2055              Justin Edwards   944
 2056                 Tim Elliott   944
 2057                  Jay Hieron   944
 2058            Anthony Hamilton   943
 2059              Rodney Wallace   943
 2060               Ricardo Funch   942
 2061              Kurt Holobaugh   942
 2062              Leonard Garcia   941
 2063                  Matt Grice   941
 2064           Henrique da Silva   941
 2065                  Tiki Ghosn   941
 2066              Will Campuzano   941
 2067               Tonya Evinger   941
 2068             Seth Petruzelli   940
 2069               Bobby Voelker   940
 2070              Hector Lombard   939
 2071                   Andy Ogle   939
 2072                Joby Sanchez   939
 2073            Keith Wisniewski   939
 2074                   Pat Healy   938
 2075            John-Olav Einemo   938
 2076              Jodie Esquibel   938
 2077                Joe Doerksen   937
 2078                Shane Roller   937
 2079                 Josh Grispi   937
 2080               Elvis Sinosic   936
 2081              Phillipe Nover   932
 2082               Takanori Gomi   931
 2083              Thibault Gouti   931
 2084           Michihiro Omigawa   930
 2085                John Alessio   930
 2086               Dustin Jacoby   930
 2087               Kailin Curran   929
 2088               Igor Pokrajac   928
 2089              Naoyuki Kotani   928
 2090                Dustin Pague   927
 2091                 George Roop   925
 2092              Steve Cantwell   925
 2093                Joey Beltran   920
 2094                Josh Burkman   918
