Fighter;Result;Opponent;Date;Method;Fight Number
Zhang Tiequan;def.;Jason Reinhardt;27 February 2011;Submission;1
Tatiana Suarez;def.;Amanda Cooper;July 8, 2016;Submission;10
Oleg Taktarov;def.;Dave Beneteau;December 16, 1995;Submission;3
Kurt Pellegrino;def.;Nate Mohr;April 5, 2007;Submission;4
Sara McMann;def.;Alexis Davis;December 3, 2016;Submission;8
Kamaru Usman;def.;Hayder Hassan;July 12, 2015;Submission;10
Francisco Trinaldo;def.;C.J. Keith;January 19, 2013;Submission;1
Dan Severn;def.;Paul Varelans;December 16, 1995;Submission;5
Montana De La Rosa;def.;Christina Marks;December 1, 2017;Submission;5
Rachael Ostovich;def.;Karine Gevorgyan;December 1, 2017;Submission;3
Gillian Robertson;def.;Emily Whitmire;December 1, 2017;Submission;1
Felice Herrig;def.;Lisa Ellis;December 12, 2014;Submission;6
Aisling Daly;def.;Alex Chambers;December 12, 2014;Submission;2
Mike Rio;def.;John Cofer;December 15, 2012;Submission;2
Jeremy Horn;def.;Eugene Jackson;September 22, 2000;Submission;5
Fabiano Iha;def.;LaVerne Clark;September 22, 2000;Submission;4
Pat Miletich;def.;John Alessio;June 9, 2000;Submission;6
Joe Charles;def.;Scott Bessac;December 16, 1995;Submission;2
Mark Hall;def.;Trent Jenkins;December 16, 1995;Submission;1
Brett Johns;def.;Joe Soto;December 1, 2017;Submission;6
Tatiana Suarez;def.;Amanda Cooper;July 8, 2016;Submission;10
Dustin Poirier;def.;Jonathan Brookins;December 15, 2012;Submission;8
Luis Peña;def.;Richie Smullen;July 6, 2018;Submission;5
Yancy Medeiros;def.;Joe Proctor;December 12, 2014;Submission;8
Gabriel Gonzaga;def.;Ben Rothwell;January 19, 2013;Submission;9
Joe Stevenson;def.;Melvin Guillard;April 5, 2007;Submission;9
Wilson Gouveia;def.;Seth Petruzelli;April 5, 2007;Submission;6
Daniel Pineda;def.;Justin Lawrence;April 13, 2013;Submission;1
Ildemar Alcântara;def.;Wagner Prado;January 19, 2013;Submission;2
Carla Esparza;def.;Rose Namajunas;December 12, 2014;Submission;11
Tank Abbott;def.;Steve Jennum;December 16, 1995;Submission;6
Pedro Rizzo;def.;Dan Severn;September 22, 2000;Submission;7
Ian Freeman;def.;Nate Schroeder;June 9, 2000;Submission;2
Montana De La Rosa;def.;Rachael Ostovich;July 6, 2018;Submission;6
Jesse Taylor;def.;Dhiego Lima;July 7, 2017;Submission;10
Tecia Torres;def.;Juliana Lima;July 7, 2017;Submission;2
Michelle Waterson;def.;Angela Magaña;July 12, 2015;Submission;7
Josh Samman;def.;Caio Magalhães;July 12, 2015;Submission;5
Thiago Tavares;def.;Robbie Peralta;August 16, 2014;Submission;5
Elias Silverio;def.;Ernest Chavez;May 31, 2014;Submission;6
Ricardo Abreu;def.;Wagner Silva;May 31, 2014;Submission;3
Chris Holdsworth;def.;Davey Grant;November 30, 2013;Submission;8
Josh Sampo;def.;Ryan Benoit;November 30, 2013;Submission;1
Urijah Faber;def.;Scott Jorgensen;April 13, 2013;Submission;12
Cole Miller;def.;Bart Palaszewski;April 13, 2013;Submission;3
Bryan Caraway;def.;Mitch Gagnon;July 21, 2012;Submission;3
Kenny Florian;def.;Dokonjonosuke Mishima;April 5, 2007;Submission;7
Marco Ruas;def.;Keith Hackney;December 16, 1995;Submission;4
Edson Barboza;def.;Lucas Martins;January 19, 2013;Submission;4
Bubba McDaniel;def.;Gilbert Smith;April 13, 2013;Submission;8
Warlley Alves;def.;Márcio Alexandre Jr.;May 31, 2014;Submission;10
Gerald Meerschaert;def.;Oskar Piechota;July 6, 2018;Submission;1
